22,0.6448140900195695,,,407.4481409001957,0,362.1656804733728,,507,,138.91188168525696,43.52310490608215,9.250640869140625E-05,44.366867780685425,362.1656804733728,,,0,507,0,507,0,507,,,,,,,0.6577909270216963,,1.428039577115452,507,,,0,507,0,507,0,507,,,,,,,0.7021696252465484,,0.010406656378119656,507,,,0,507,0,507,0,507,,,,,,,0.6134122287968442,,0.009180515710653873,507,,,2026-06-18T04:34:39.9370000Z
23,0.7984344422700587,,,444.16438356164383,0,397.8333333333333,,510,,111.07822680473328,43.77957582473755,9.131431579589844E-05,44.32651424407959,397.8333333333333,,,0,510,0,510,0,510,,,,,,,0.8019607843137255,,1.4302932173598046,510,,,0,510,0,510,0,510,,,,,,,0.7490196078431373,,0.010321878919414445,510,,,0,510,0,510,0,510,,,,,,,0.8549019607843137,,0.009184764413272633,510,,,2026-06-18T04:36:20.2820000Z
24,0.687866927592955,,,423.0352250489237,0,375.95652173913044,,506,,149.77586579322815,44.59386968612671,8.940696716308594E-05,45.60645651817322,375.95652173913044,,,0,506,0,506,0,506,,,,,,,0.7045454545454546,,1.4253209852889592,506,,,0,506,0,506,0,506,,,,,,,0.8913043478260869,,0.010306854964244978,506,,,0,506,0,506,0,506,,,,,,,0.5177865612648221,,0.00927184174654512,506,,,2026-06-18T04:38:21.1810000Z
25,0.6487279843444227,0.65,,433.3385518590998,0,385.8300395256917,325,506,1,120.34377789497375,44.700806617736816,51.721049070358276,97.25206851959229,385.8300395256917,,,0,506,0,506,0,506,0,20,0,20,0,20,0.6650197628458498,0.65,1.4115369070188801,506,0.5254932999610901,20,0.001976284584980237,506,0,506,0,506,0.05,20,0,20,0,20,0.8359683794466403,0.75,0.010222188097686165,506,0.01678990125656128,20,0.001976284584980237,506,0,506,0,506,0.05,20,0,20,0,20,0.49407114624505927,0.55,0.00917347900481092,506,0.009239876270294189,20,2026-06-18T04:41:03.9230000Z
26,0.7054794520547946,,,472.8003913894325,0,422.52465483234715,,507,,134.96086525917053,52.43648552894592,8.96453857421875E-05,53.23066973686218,422.52465483234715,,,0,507,0,507,0,507,,,,,,,0.7189349112426036,,1.4145053970743213,507,,,0.0019723865877712033,507,0,507,0,507,,,,,,,0.5325443786982249,,0.01023712148798053,507,,,0.0019723865877712033,507,0,507,0,507,,,,,,,0.9053254437869822,,0.009165395646405644,507,,,2026-06-18T04:43:19.5910000Z
27,0.8189823874755382,,,479.07632093933466,0,425.5158102766798,,506,,125.67224502563477,52.79269576072693,8.726119995117188E-05,53.93291878700256,425.5158102766798,,,0,506,0,506,0,506,,,,,,,0.8369565217391305,,1.4015154847985671,506,,,0.007905138339920948,506,0,506,0,506,,,,,,,0.8221343873517787,,0.010178189032633785,506,,,0.007905138339920948,506,0,506,0,506,,,,,,,0.8517786561264822,,0.009082873819373814,506,,,2026-06-18T04:45:16.9770000Z
28,0.8424657534246576,,,413.7436399217221,0,357.5404339250493,,507,,104.32317900657654,42.982847690582275,9.179115295410156E-05,43.854222774505615,357.5404339250493,,,0,507,0,507,0,507,,,,,,,0.8570019723865878,,1.3988171982812223,507,,,0.009861932938856016,507,0,507,0,507,,,,,,,0.8875739644970414,,0.010085514076127573,507,,,0.009861932938856016,507,0,507,0,507,,,,,,,0.8264299802761341,,0.009099696985128128,507,,,2026-06-18T04:46:53.4160000Z
29,0.6917808219178082,,,470.634765625,0,412.301775147929,,507,,118.84873390197754,55.922348976135254,9.489059448242188E-05,56.69797682762146,412.301775147929,,,0,507,0,507,0,507,,,,,,,0.7051282051282052,,1.4175343828558686,507,,,0,507,0,507,0,507,,,,,,,0.7613412228796844,,0.010208362658348308,507,,,0,507,0,507,0,507,,,,,,,0.6489151873767258,,0.00922799439590123,507,,,2026-06-18T04:48:50.1900000Z
30,0.8336594911937377,0.725,,493.376953125,0,437.14734774066795,423,509,1,140.9268958568573,52.30687475204468,39.77484655380249,92.95671534538269,437.14734774066795,,,0,509,0,509,0,509,0,20,0,20,0,20,0.8408644400785854,0.725,1.4145529883783787,509,0.5055685639381409,20,0.0019646365422396855,509,0,509,0,509,0,20,0,20,0,20,0.7347740667976425,0.85,0.010130414794142447,509,0.015635335445404054,20,0.0019646365422396855,509,0,509,0,509,0,20,0,20,0,20,0.9469548133595285,0.6,0.009192527160194862,509,0.009435391426086426,20,2026-06-18T04:51:39.0860000Z
31,0.87279843444227,,,422.2759295499022,0,365.0866141732283,,508,,125.26935577392578,43.97164964675903,9.369850158691406E-05,44.52167558670044,365.0866141732283,,,0,508,0,508,0,508,,,,,,,0.8838582677165354,,1.4169280871631593,508,,,0,508,0,508,0,508,,,,,,,0.9173228346456693,,0.010241152264001801,508,,,0,508,0,508,0,508,,,,,,,0.8503937007874016,,0.009155893419671246,508,,,2026-06-18T04:53:40.5130000Z
32,0.7377690802348337,,,389.1526418786693,0,333.96062992125985,,508,,127.38256740570068,42.96454477310181,9.465217590332031E-05,43.66233539581299,333.96062992125985,,,0,508,0,508,0,508,,,,,,,0.7480314960629921,,1.403703622930632,508,,,0.001968503937007874,508,0,508,0,508,,,,,,,0.7283464566929134,,0.010062288111589086,508,,,0.001968503937007874,508,0,508,0,508,,,,,,,0.7677165354330708,,0.0091524091292554,508,,,2026-06-18T04:55:28.2610000Z
33,0.8033268101761253,,,396.74559686888455,0,341.49015748031496,,508,,134.4527552127838,43.30832648277283,8.654594421386719E-05,44.12602210044861,341.49015748031496,,,0,508,0,508,0,508,,,,,,,0.8139763779527559,,1.409758809513933,508,,,0.001968503937007874,508,0,508,0,508,,,,,,,0.8208661417322834,,0.010095666712663305,508,,,0.001968503937007874,508,0,508,0,508,,,,,,,0.8070866141732284,,0.009197357602006807,508,,,2026-06-18T04:57:20.0630000Z
34,0.7455968688845401,,,415.68688845401175,0,355.1984126984127,,504,,145.88869833946228,44.11288332939148,9.179115295410156E-05,44.66394114494324,355.1984126984127,,,0,504,0,504,0,504,,,,,,,0.7698412698412699,,1.3888160160609655,504,,,0.001984126984126984,504,0,504,0,504,,,,,,,0.8154761904761905,,0.010019885642187936,504,,,0.001984126984126984,504,0,504,0,504,,,,,,,0.7242063492063492,,0.009135834754459442,504,,,2026-06-18T04:59:18.1780000Z
35,0.6976516634050881,0.8,,347.0156555772994,0,292.803536345776,487,509,1,130.11159324645996,43.59661555290222,36.49648141860962,81.23618340492249,292.803536345776,,,0,509,0,509,0,509,0,20,0,20,0,20,0.7043222003929273,0.8,1.4102999550420314,509,0.4532590627670288,20,0.0019646365422396855,509,0,509,0,509,0,20,0,20,0,20,0.6463654223968566,0.9,0.01006924707903609,509,0.009567439556121826,20,0.0019646365422396855,509,0,509,0,509,0,20,0,20,0,20,0.762278978388998,0.7,0.009192302325385492,509,0.012891590595245361,20,2026-06-18T05:01:50.1460000Z
36,0.6966731898238747,,,353.5890410958904,0,304.3877952755906,,508,,102.36361789703369,43.50727725028992,8.869171142578125E-05,44.41627907752991,304.3877952755906,,,0,508,0,508,0,508,,,,,,,0.7066929133858267,,1.4125943653226838,508,,,0.001968503937007874,508,0,508,0,508,,,,,,,0.7106299212598425,,0.010136950673080805,508,,,0.001968503937007874,508,0,508,0,508,,,,,,,0.702755905511811,,0.009194445891643133,508,,,2026-06-18T05:03:40.4850000Z
37,0.7974559686888454,,,307.2563600782779,0,257.8627450980392,,510,,107.93891167640686,45.93529152870178,8.749961853027344E-05,46.2964243888855,257.8627450980392,,,0,510,0,510,0,510,,,,,,,0.8009803921568628,,1.415236287023507,510,,,0,510,0,510,0,510,,,,,,,0.8196078431372549,,0.010100606843536976,510,,,0,510,0,510,0,510,,,,,,,0.7823529411764706,,0.009194712545357498,510,,,2026-06-18T05:05:21.3040000Z
38,0.5812133072407045,,,303.559686888454,0,256.6304347826087,,506,,118.97298431396484,42.235631704330444,0.00010728836059570312,42.958022594451904,256.6304347826087,,,0,506,0,506,0,506,,,,,,,0.5968379446640316,,1.399026150288789,506,,,0,506,0,506,0,506,,,,,,,0.6877470355731226,,0.009937600184806251,506,,,0,506,0,506,0,506,,,,,,,0.5059288537549407,,0.0092847757188699,506,,,2026-06-18T05:07:04.2610000Z
39,0.8111545988258317,,,291.5303326810176,0,244.3484251968504,,508,,121.01904892921448,43.65394949913025,0.00010251998901367188,44.2750985622406,244.3484251968504,,,0,508,0,508,0,508,,,,,,,0.8218503937007874,,1.4156557185443368,508,,,0,508,0,508,0,508,,,,,,,0.7952755905511811,,0.010150182904220942,508,,,0,508,0,508,0,508,,,,,,,0.8484251968503937,,0.009226207658061831,508,,,2026-06-18T05:08:49.4650000Z
40,0.7407045009784736,0.725,,258.027397260274,0,210.25296442687747,194,506,1,106.32146978378296,42.34659743309021,36.7362585067749,79.41053247451782,210.25296442687747,,,0,506,0,506,0,506,0,20,0,20,0,20,0.7579051383399209,0.725,1.4069296083902654,506,0.4619857907295227,20,0.001976284584980237,506,0,506,0,506,0,20,0,20,0,20,0.849802371541502,0.75,0.010127412000663668,506,0.009958505630493164,20,0.001976284584980237,506,0,506,0,506,0,20,0,20,0,20,0.66600790513834,0.7,0.009196508072110504,506,0.012936031818389893,20,2026-06-18T05:11:02.3150000Z
41,0.863013698630137,,,267.73385518591,0,221.18467583497053,,509,,125.3728380203247,42.383167028427124,8.463859558105469E-05,43.48173379898071,221.18467583497053,,,0,509,0,509,0,509,,,,,,,0.8703339882121808,,1.3982227607419777,509,,,0,509,0,509,0,509,,,,,,,0.8840864440078585,,0.009980779734013826,509,,,0,509,0,509,0,509,,,,,,,0.8565815324165029,,0.009119015545648302,509,,,2026-06-18T05:13:08.5530000Z
42,0.5058708414872799,,,289.9080234833659,0,245.55621301775147,,507,,98.56888890266418,42.420626401901245,9.918212890625E-05,42.993996143341064,245.55621301775147,,,0,507,0,507,0,507,,,,,,,0.5177514792899408,,1.4070869484361577,507,,,0,507,0,507,0,507,,,,,,,0.591715976331361,,0.010143451671863684,507,,,0,507,0,507,0,507,,,,,,,0.4437869822485207,,0.009154468363323625,507,,,2026-06-18T05:14:41.3510000Z
43,0.7661448140900196,,,247.06849315068493,0,201.95078740157481,,508,,109.0795328617096,41.72230911254883,0.00010132789611816406,42.15667152404785,201.95078740157481,,,0,508,0,508,0,508,,,,,,,0.7765748031496063,,1.4156059740096565,508,,,0,508,0,508,0,508,,,,,,,0.7204724409448819,,0.010157986888735314,508,,,0,508,0,508,0,508,,,,,,,0.8326771653543307,,0.00921339219010721,508,,,2026-06-18T05:16:18.6260000Z
44,0.8483365949119374,,,282.8590998043053,0,237.25933202357564,,509,,112.03999280929565,42.632243156433105,8.726119995117188E-05,43.137529373168945,237.25933202357564,,,0,509,0,509,0,509,,,,,,,0.8555992141453831,,1.3968927499587502,509,,,0,509,0,509,0,509,,,,,,,0.7544204322200393,,0.009989430721710145,509,,,0,509,0,509,0,509,,,,,,,0.9567779960707269,,0.009089312993707263,509,,,2026-06-18T05:17:58.3520000Z
45,0.7857142857142857,0.65,,277.3835616438356,0,232.21653543307087,693,508,1,110.04014849662781,43.331249475479126,46.76072287559509,92.89052391052246,232.21653543307087,,,0,508,0,508,0,508,0,20,0,20,0,20,0.7962598425196851,0.65,1.3992901622779725,508,0.43698443174362184,20,0,508,0,508,0,508,0.05,20,0,20,0,20,0.9921259842519685,0.75,0.01002601094133272,508,0.012533819675445557,20,0,508,0,508,0,508,0.05,20,0,20,0,20,0.6003937007874016,0.55,0.009127922414794681,508,0.009108984470367431,20,2026-06-18T05:20:26.6320000Z
46,0.5704500978473581,,,286.37964774951075,0,242.10059171597632,,507,,104.73315954208374,43.986003398895264,0.00010704994201660156,44.49512839317322,242.10059171597632,,,0,507,0,507,0,507,,,,,,,0.5828402366863905,,1.3999303398282805,507,,,0,507,0,507,0,507,,,,,,,0.5759368836291914,,0.009932631806744157,507,,,0,507,0,507,0,507,,,,,,,0.5897435897435898,,0.009260047352055356,507,,,2026-06-18T05:22:19.8200000Z
47,0.8992172211350293,,,282.05479452054794,0,238.05708661417322,,508,,159.7937388420105,42.66709041595459,0.00010633468627929688,43.02262306213379,238.05708661417322,,,0,508,0,508,0,508,,,,,,,0.9104330708661418,,1.4284770516898688,508,,,0,508,0,508,0,508,,,,,,,0.9488188976377953,,0.010339366169426385,508,,,0,508,0,508,0,508,,,,,,,0.8720472440944882,,0.00920628797350906,508,,,2026-06-18T05:24:28.0740000Z
48,0.586105675146771,,,294.5420743639922,0,250.61764705882354,,510,,109.51236724853516,43.34122347831726,9.012222290039062E-05,43.89742636680603,250.61764705882354,,,0,510,0,510,0,510,,,,,,,0.5892156862745098,,1.4307805430655387,510,,,0,510,0,510,0,510,,,,,,,0.6450980392156863,,0.010155849830777037,510,,,0,510,0,510,0,510,,,,,,,0.5333333333333333,,0.009351318022784065,510,,,2026-06-18T05:26:07.0470000Z
49,0.773972602739726,,,287.7358121330724,0,243.99607072691552,,509,,107.45483779907227,43.00594520568848,8.678436279296875E-05,43.32091927528381,243.99607072691552,,,0,509,0,509,0,509,,,,,,,0.7809430255402751,,1.4135231526755163,509,,,0,509,0,509,0,509,,,,,,,0.7072691552062869,,0.010160592309618277,509,,,0,509,0,509,0,509,,,,,,,0.8546168958742633,,0.00914780517458213,509,,,2026-06-18T05:27:44.3160000Z
50,0.7700587084148728,0.725,,291.75538160469665,0,248.5705882352941,339,510,1,117.93588972091675,43.96471405029297,32.28338932991028,76.8512909412384,248.5705882352941,,,0,510,0,510,0,510,0,20,0,20,0,20,0.7735294117647059,0.725,1.416956039503509,510,0.44680711030960085,20,0,510,0,510,0,510,0,20,0,20,0,20,0.8588235294117647,0.75,0.010206366987789378,510,0.012738537788391114,20,0,510,0,510,0,510,0,20,0,20,0,20,0.6882352941176471,0.7,0.009109956142949124,510,0.009400653839111327,20,2026-06-18T05:30:00.5050000Z
51,0.5802348336594912,,,339.4090019569472,0,297.1623762376238,,505,,109.08283925056458,44.20500302314758,9.72747802734375E-05,45.253103494644165,297.1623762376238,,,0,505,0,505,0,505,,,,,,,0.599009900990099,,1.4248961495881034,505,,,0,505,0,505,0,505,,,,,,,0.6514851485148515,,0.010401925946226215,505,,,0,505,0,505,0,505,,,,,,,0.5465346534653466,,0.009214038660030554,505,,,2026-06-18T05:31:57.9910000Z
52,0.8463796477495108,,,290.61252446183954,0,248.60157790927022,,507,,110.0081684589386,46.84119248390198,9.894371032714844E-05,47.70163154602051,248.60157790927022,,,0,507,0,507,0,507,,,,,,,0.8609467455621301,,1.4294367419662326,507,,,0,507,0,507,0,507,,,,,,,0.8185404339250493,,0.010381711775499453,507,,,0,507,0,507,0,507,,,,,,,0.903353057199211,,0.00922190555218879,507,,,2026-06-18T05:33:41.7670000Z
